539.6000,2508.3333,3245.8333,3304.1667,3287.5000,3516.6667,3737.5000,3941.6667,3920.8333,4025.0000,4087.5000,4195.8335,4579.1665,4683.3335,4416.6665,3929.1667,3454.1667,3258.3333,3200.0000,3358.3333,3400.0000,3529.1667,3312.5000,3412.5000,3312.5000,3600.0000
539.5000,2450.0000,3175.0000,3291.6667,3383.3333,3683.3333,3637.5000,3862.5000,3770.8333,3962.5000,4162.5000,4454.1665,4575.0000,4437.5000,4425.0000,3858.3333,3575.0000,3370.8333,3562.5000,3187.5000,3375.0000,3600.0000,3370.8333,3225.0000,3291.6667,3204.1667
539.4000,2408.3333,3062.5000,3137.5000,3175.0000,3558.3333,3495.8333,3875.0000,3766.6667,4100.0000,4320.8335,4175.0000,4704.1665,4500.0000,4158.3335,3754.1667,3691.6667,3345.8333,3258.3333,3395.8333,3470.8333,3525.0000,3195.8333,3391.6667,3170.8333,3554.1667
539.3000,2337.5000,3070.8333,3475.0000,3162.5000,3362.5000,3712.5000,3920.8333,4020.8333,4162.5000,4158.3335,4458.3335,4333.3335,4762.5000,4283.3335,4087.5000,3441.6667,3170.8333,3354.1667,3258.3333,3283.3333,3354.1667,3358.3333,3370.8333,3316.6667,3512.5000
539.2000,2341.6667,3270.8333,3141.6667,3358.3333,3541.6667,3541.6667,3716.6667,3883.3333,3991.6667,3812.5000,4512.5000,4445.8335,4708.3335,4266.6665,4079.1667,3833.3333,3470.8333,3187.5000,3275.0000,3300.0000,3212.5000,3529.1667,3166.6667,3270.8333,3266.6667
539.1000,2429.1667,3258.3333,3075.0000,3066.6667,3612.5000,3675.0000,3833.3333,3841.6667,4170.8335,4162.5000,4012.5000,4662.5000,4483.3335,4275.0000,3875.0000,3366.6667,3458.3333,3437.5000,3483.3333,3558.3333,3445.8333,3354.1667,3154.1667,3445.8333,3216.6667
539.0000,2370.8333,3191.6667,3120.8333,3116.6667,3541.6667,3570.8333,3804.1667,3787.5000,3900.0000,3966.6667,4291.6665,4458.3335,4733.3335,4404.1665,3566.6667,3387.5000,3454.1667,3425.0000,3525.0000,3420.8333,3275.0000,3479.1667,3266.6667,3395.8333,3225.0000
538.9000,2237.5000,3112.5000,3175.0000,3283.3333,3358.3333,3416.6667,3708.3333,3720.8333,3933.3333,3933.3333,4233.3335,4237.5000,4687.5000,4408.3335,3737.5000,3362.5000,3570.8333,3275.0000,3412.5000,3550.0000,3525.0000,3345.8333,3329.1667,3275.0000,3462.5000
538.8000,2387.5000,2983.3333,2954.1667,3229.1667,3391.6667,3645.8333,3675.0000,3850.0000,3808.3333,3925.0000,4129.1665,4575.0000,4487.5000,4500.0000,3475.0000,3783.3333,3425.0000,3262.5000,3562.5000,3270.8333,3358.3333,3283.3333,3287.5000,3270.8333,3529.1667
538.7000,2183.3333,2937.5000,3220.8333,3383.3333,3237.5000,3441.6667,3766.6667,3670.8333,4116.6665,3958.3333,4104.1665,4541.6665,4533.3335,4387.5000,3937.5000,3341.6667,3329.1667,3375.0000,3416.6667,3633.3333,3483.3333,3137.5000,3191.6667,3400.0000,3412.5000
538.6000,2491.6667,2912.5000,3166.6667,3229.1667,3512.5000,3420.8333,3783.3333,3633.3333,3975.0000,3991.6667,4020.8333,4350.0000,4504.1665,4445.8335,3650.0000,3525.0000,3341.6667,3345.8333,3354.1667,3300.0000,3595.8333,3254.1667,3404.1667,3195.8333,3312.5000
538.5000,2254.1667,2887.5000,2870.8333,3045.8333,3316.6667,3625.0000,3704.1667,3783.3333,3762.5000,4033.3333,4075.0000,4116.6665,4666.6665,4341.6665,3679.1667,3495.8333,3400.0000,3262.5000,3379.1667,3429.1667,3433.3333,3470.8333,3220.8333,3354.1667,3354.1667
538.4000,2358.3333,3108.3333,3037.5000,3175.0000,3229.1667,3533.3333,3875.0000,3975.0000,4008.3333,3979.1667,3920.8333,4120.8335,4391.6665,4233.3335,3533.3333,3425.0000,3295.8333,3354.1667,3454.1667,3387.5000,3158.3333,3241.6667,3208.3333,3379.1667,3625.0000
538.3000,2383.3333,3029.1667,2825.0000,3150.0000,3295.8333,3466.6667,3458.3333,3704.1667,4020.8333,3850.0000,4154.1665,4320.8335,4720.8335,4370.8335,3837.5000,3550.0000,3183.3333,3337.5000,3212.5000,3387.5000,3300.0000,3250.0000,3358.3333,3487.5000,3375.0000
