#title,XRD_RIGAKU2 - ÉRÉsÅ[.ras
#dimension,x,y
#x,2Theta-Theta,deg
#y,Intensity,counts
#legend,Cu K_alpha
##acq_date,11/21/2017 08:37:42

32.2500,6.0000
32.2600,2.0000
32.2700,6.0000
32.2800,10.0000
32.2900,6.0000
32.3000,5.0000
32.3100,5.0000
32.3200,7.0000
32.3300,9.0000
32.3400,1.0000
32.3500,7.0000
32.3600,4.0000
32.3700,3.0000
32.3800,2.0000
32.3900,7.0000
32.4000,9.0000
32.4100,6.0000
32.4200,1.0000
32.4300,5.0000
32.4400,4.0000
32.4500,1.0000
32.4600,6.0000
32.4700,6.0000
32.4800,7.0000
32.4900,3.0000
32.5000,4.0000
32.5100,4.0000
32.5200,5.0000
32.5300,10.0000
32.5400,6.0000
32.5500,3.0000
32.5600,3.0000
32.5700,5.0000
32.5800,5.0000
32.5900,6.0000
32.6000,7.0000
32.6100,7.0000
32.6200,5.0000
32.6300,2.0000
32.6400,6.0000
32.6500,6.0000
32.6600,4.0000
32.6700,2.0000
32.6800,7.0000
32.6900,4.0000
32.7000,6.0000
32.7100,5.0000
32.7200,3.0000
32.7300,1.0000
32.7400,5.0000
32.7500,2.0000
32.7600,2.0000
32.7700,3.0000
32.7800,4.0000
32.7900,3.0000
32.8000,4.0000
32.8100,8.0000
32.8200,6.0000
32.8300,9.0000
32.8400,5.0000
32.8500,3.0000
32.8600,2.0000
32.8700,8.0000
32.8800,8.0000
32.8900,5.0000
32.9000,3.0000
32.9100,4.0000
32.9200,7.0000
32.9300,5.0000
32.9400,5.0000
32.9500,4.0000
32.9600,4.0000
32.9700,0.0000
32.9800,5.0000
32.9900,6.0000
33.0000,4.0000
33.0100,8.0000
33.0200,7.0000
33.0300,6.0000
33.0400,4.0000
33.0500,2.0000
33.0600,3.0000
33.0700,5.0000
33.0800,7.0000
33.0900,2.0000
33.1000,6.0000
33.1100,1.0000
33.1200,6.0000
33.1300,6.0000
33.1400,5.0000
33.1500,2.0000
33.1600,3.0000
33.1700,3.0000
33.1800,7.0000
33.1900,8.0000
33.2000,4.0000
33.2100,3.0000
33.2200,2.0000
33.2300,6.0000
33.2400,4.0000
33.2500,6.0000
33.2600,2.0000
33.2700,4.0000
33.2800,8.0000
33.2900,5.0000
33.3000,4.0000
33.3100,7.0000
33.3200,4.0000
33.3300,5.0000
33.3400,5.0000
33.3500,2.0000
33.3600,8.0000
33.3700,2.0000
33.3800,2.0000
33.3900,6.0000
33.4000,3.0000
33.4100,1.0000
33.4200,5.0000
33.4300,5.0000
33.4400,4.0000
33.4500,3.0000
33.4600,1.0000
33.4700,3.0000
33.4800,6.0000
33.4900,4.0000
33.5000,4.0000
33.5100,7.0000
33.5200,6.0000
33.5300,1.0000
33.5400,2.0000
33.5500,5.0000
33.5600,2.0000
33.5700,2.0000
33.5800,7.0000
33.5900,3.0000
33.6000,9.0000
33.6100,6.0000
33.6200,3.0000
33.6300,7.0000
33.6400,2.0000
33.6500,5.0000
33.6600,3.0000
33.6700,3.0000
33.6800,2.0000
33.6900,4.0000
33.7000,5.0000
33.7100,4.0000
33.7200,7.0000
33.7300,4.0000
33.7400,7.0000
33.7500,5.0000
33.7600,1.0000
33.7700,3.0000
33.7800,2.0000
33.7900,9.0000
33.8000,3.0000
33.8100,6.0000
33.8200,5.0000
33.8300,2.0000
33.8400,3.0000
33.8500,2.0000
33.8600,3.0000
33.8700,5.0000
33.8800,4.0000
33.8900,6.0000
33.9000,4.0000
33.9100,3.0000
33.9200,2.0000
33.9300,6.0000
33.9400,2.0000
33.9500,2.0000
33.9600,7.0000
33.9700,5.0000
33.9800,4.0000
33.9900,2.0000
34.0000,3.0000
34.0100,1.0000
34.0200,4.0000
34.0300,4.0000
34.0400,5.0000
34.0500,7.0000
34.0600,4.0000
34.0700,2.0000
34.0800,4.0000
34.0900,3.0000
34.1000,3.0000
34.1100,2.0000
34.1200,4.0000
34.1300,2.0000
34.1400,8.0000
34.1500,7.0000
34.1600,2.0000
34.1700,5.0000
34.1800,2.0000
34.1900,1.0000
34.2000,2.0000
34.2100,5.0000
34.2200,3.0000
34.2300,4.0000
34.2400,2.0000
34.2500,2.0000
34.2600,2.0000
34.2700,2.0000
34.2800,3.0000
34.2900,4.0000
34.3000,5.0000
34.3100,3.0000
34.3200,5.0000
34.3300,4.0000
34.3400,3.0000
34.3500,11.0000
34.3600,5.0000
34.3700,2.0000
34.3800,3.0000
34.3900,5.0000
34.4000,7.0000
34.4100,3.0000
34.4200,6.0000
34.4300,3.0000
34.4400,4.0000
34.4500,2.0000
34.4600,6.0000
34.4700,3.0000
34.4800,5.0000
34.4900,3.0000
34.5000,5.0000
34.5100,7.0000
34.5200,8.0000
34.5300,3.0000
34.5400,1.0000
34.5500,4.0000
34.5600,7.0000
34.5700,6.0000
34.5800,5.0000
34.5900,3.0000
34.6000,5.0000
34.6100,5.0000
34.6200,1.0000
34.6300,6.0000
34.6400,4.0000
34.6500,5.0000
34.6600,5.0000
34.6700,6.0000
34.6800,3.0000
34.6900,2.0000
34.7000,4.0000
34.7100,5.0000
34.7200,3.0000
34.7300,1.0000
34.7400,2.0000
34.7500,3.0000
34.7600,4.0000
34.7700,1.0000
34.7800,1.0000
34.7900,2.0000
34.8000,2.0000
34.8100,1.0000
34.8200,4.0000
34.8300,5.0000
34.8400,4.0000
34.8500,2.0000
34.8600,0.0000
34.8700,2.0000
34.8800,2.0000
34.8900,5.0000
34.9000,3.0000
34.9100,2.0000
34.9200,1.0000
34.9300,0.0000
34.9400,1.0000
34.9500,2.0000
34.9600,1.0000
34.9700,3.0000
34.9800,3.0000
34.9900,2.0000
35.0000,3.0000
35.0100,4.0000
35.0200,4.0000
35.0300,9.0000
35.0400,8.0000
35.0500,2.0000
35.0600,4.0000
35.0700,3.0000
35.0800,0.0000
35.0900,4.0000
35.1000,3.0000
35.1100,1.0000
35.1200,6.0000
35.1300,4.0000
35.1400,4.0000
35.1500,6.0000
35.1600,1.0000
35.1700,3.0000
35.1800,4.0000
35.1900,6.0000
35.2000,2.0000
35.2100,3.0000
35.2200,3.0000
35.2300,5.0000
35.2400,3.0000
35.2500,3.0000
35.2600,7.0000
35.2700,5.0000
35.2800,4.0000
35.2900,3.0000
35.3000,4.0000
35.3100,2.0000
35.3200,4.0000
35.3300,4.0000
35.3400,4.0000
35.3500,3.0000
35.3600,3.0000
35.3700,3.0000
35.3800,1.0000
35.3900,4.0000
35.4000,1.0000
35.4100,1.0000
35.4200,4.0000
35.4300,3.0000
35.4400,3.0000
35.4500,1.0000
35.4600,1.0000
35.4700,5.0000
35.4800,2.0000
35.4900,5.0000
35.5000,2.0000
35.5100,9.0000
35.5200,3.0000
35.5300,4.0000
35.5400,2.0000
35.5500,3.0000
35.5600,2.0000
35.5700,5.0000
35.5800,4.0000
35.5900,2.0000
35.6000,4.0000
35.6100,5.0000
35.6200,5.0000
35.6300,2.0000
35.6400,4.0000
35.6500,2.0000
35.6600,3.0000
35.6700,5.0000
35.6800,9.0000
35.6900,4.0000
35.7000,7.0000
35.7100,2.0000
35.7200,4.0000
35.7300,4.0000
35.7400,6.0000
35.7500,2.0000
35.7600,3.0000
35.7700,4.0000
35.7800,1.0000
35.7900,5.0000
35.8000,4.0000
35.8100,7.0000
35.8200,4.0000
35.8300,3.0000
35.8400,6.0000
35.8500,5.0000
35.8600,3.0000
35.8700,5.0000
35.8800,7.0000
35.8900,5.0000
35.9000,5.0000
35.9100,0.0000
35.9200,3.0000
35.9300,2.0000
35.9400,4.0000
35.9500,3.0000
35.9600,4.0000
35.9700,1.0000
35.9800,3.0000
35.9900,7.0000
36.0000,4.0000
36.0100,5.0000
36.0200,3.0000
36.0300,3.0000
36.0400,4.0000
36.0500,1.0000
36.0600,3.0000
36.0700,0.0000
36.0800,6.0000
36.0900,5.0000
36.1000,4.0000
36.1100,3.0000
36.1200,2.0000
36.1300,2.0000
36.1400,4.0000
36.1500,5.0000
36.1600,5.0000
36.1700,4.0000
36.1800,4.0000
36.1900,3.0000
36.2000,0.0000
36.2100,5.0000
36.2200,2.0000
36.2300,5.0000
36.2400,5.0000
36.2500,4.0000
36.2600,6.0000
36.2700,2.0000
36.2800,5.0000
36.2900,6.0000
36.3000,8.0000
36.3100,6.0000
36.3200,4.0000
36.3300,2.0000
36.3400,5.0000
36.3500,3.0000
36.3600,2.0000
36.3700,5.0000
36.3800,2.0000
36.3900,2.0000
36.4000,5.0000
36.4100,2.0000
36.4200,3.0000
36.4300,10.0000
36.4400,1.0000
36.4500,3.0000
36.4600,2.0000
36.4700,2.0000
36.4800,5.0000
36.4900,4.0000
36.5000,8.0000
36.5100,5.0000
36.5200,2.0000
36.5300,4.0000
36.5400,5.0000
36.5500,2.0000
36.5600,2.0000
36.5700,2.0000
36.5800,2.0000
36.5900,3.0000
36.6000,5.0000
36.6100,7.0000
36.6200,8.0000
36.6300,5.0000
36.6400,3.0000
36.6500,6.0000
36.6600,9.0000
36.6700,6.0000
36.6800,6.0000
36.6900,4.0000
36.7000,4.0000
36.7100,9.0000
36.7200,5.0000
36.7300,4.0000
36.7400,4.0000
36.7500,6.0000
36.7600,8.0000
36.7700,2.0000
36.7800,4.0000
36.7900,5.0000
36.8000,1.0000
36.8100,6.0000
36.8200,3.0000
36.8300,5.0000
36.8400,6.0000
36.8500,5.0000
36.8600,8.0000
36.8700,2.0000
36.8800,7.0000
36.8900,5.0000
36.9000,3.0000
36.9100,2.0000
36.9200,7.0000
36.9300,7.0000
36.9400,3.0000
36.9500,5.0000
36.9600,4.0000
36.9700,3.0000
36.9800,3.0000
36.9900,4.0000
37.0000,4.0000
37.0100,4.0000
37.0200,5.0000
37.0300,3.0000
37.0400,3.0000
37.0500,3.0000
37.0600,4.0000
37.0700,7.0000
37.0800,6.0000
37.0900,5.0000
37.1000,5.0000
37.1100,7.0000
37.1200,2.0000
37.1300,4.0000
37.1400,3.0000
37.1500,2.0000
37.1600,0.0000
37.1700,2.0000
37.1800,3.0000
37.1900,8.0000
37.2000,3.0000
37.2100,2.0000
37.2200,4.0000
37.2300,5.0000
37.2400,6.0000
37.2500,6.0000
37.2600,3.0000
37.2700,4.0000
37.2800,2.0000
37.2900,3.0000
37.3000,8.0000
37.3100,5.0000
37.3200,3.0000
37.3300,2.0000
37.3400,2.0000
37.3500,2.0000
37.3600,3.0000
37.3700,2.0000
37.3800,7.0000
37.3900,3.0000
37.4000,2.0000
37.4100,5.0000
37.4200,4.0000
37.4300,3.0000
37.4400,6.0000
37.4500,3.0000
37.4600,3.0000
37.4700,3.0000
37.4800,5.0000
37.4900,4.0000
37.5000,1.0000
37.5100,4.0000
37.5200,5.0000
37.5300,3.0000
37.5400,4.0000
37.5500,5.0000
37.5600,4.0000
37.5700,5.0000
37.5800,3.0000
37.5900,8.0000
37.6000,5.0000
37.6100,4.0000
37.6200,6.0000
37.6300,4.0000
37.6400,4.0000
37.6500,5.0000
37.6600,2.0000
37.6700,4.0000
37.6800,2.0000
37.6900,3.0000
37.7000,3.0000
37.7100,2.0000
37.7200,4.0000
37.7300,4.0000
37.7400,3.0000
37.7500,1.0000
37.7600,4.0000
37.7700,2.0000
37.7800,1.0000
37.7900,3.0000
37.8000,5.0000
37.8100,1.0000
37.8200,2.0000
37.8300,4.0000
37.8400,3.0000
37.8500,5.0000
37.8600,8.0000
37.8700,5.0000
37.8800,2.0000
37.8900,4.0000
37.9000,6.0000
37.9100,3.0000
37.9200,2.0000
37.9300,5.0000
37.9400,1.0000
37.9500,3.0000
37.9600,3.0000
37.9700,6.0000
37.9800,2.0000
37.9900,4.0000
38.0000,5.0000
38.0100,2.0000
38.0200,2.0000
38.0300,5.0000
38.0400,4.0000
38.0500,4.0000
38.0600,3.0000
38.0700,5.0000
38.0800,2.0000
38.0900,0.0000
38.1000,1.0000
38.1100,2.0000
38.1200,2.0000
38.1300,2.0000
38.1400,3.0000
38.1500,4.0000
38.1600,2.0000
38.1700,4.0000
38.1800,3.0000
38.1900,6.0000
38.2000,5.0000
38.2100,4.0000
38.2200,4.0000
38.2300,5.0000
38.2400,1.0000
38.2500,2.0000
38.2600,2.0000
38.2700,3.0000
38.2800,4.0000
38.2900,3.0000
38.3000,3.0000
38.3100,7.0000
38.3200,4.0000
38.3300,3.0000
38.3400,3.0000
38.3500,7.0000
38.3600,5.0000
38.3700,5.0000
38.3800,3.0000
38.3900,5.0000
38.4000,3.0000
38.4100,3.0000
38.4200,7.0000
38.4300,3.0000
38.4400,6.0000
38.4500,4.0000
38.4600,4.0000
38.4700,2.0000
38.4800,5.0000
38.4900,3.0000
38.5000,3.0000
38.5100,3.0000
38.5200,3.0000
38.5300,1.0000
38.5400,2.0000
38.5500,1.0000
38.5600,6.0000
38.5700,6.0000
38.5800,5.0000
